Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,1579.5472,2328.9512,411.7530
Deepseek-R1,2734.5000,8804.9643,957.5621
DeepSeek-V3,1460.2921,2631.2870,371.1347
gemini-2.0-flash-thinking-exp-01-21,6046.4551,24054.7596,1214.6064
gpt-4.1,1159.1837,2385.5942,215.0702
gpt-4o,641.3256,664.2857,185.9559
llama-4-maverick,710.8590,1011.6724,216.8691
o3-mini-medium,2223.4667,5656.5152,362.4000
o4-mini-medium,1196.6250,3894.7143,271.3462
qwen3-235b-a22b,919.1613,1868.4359,266.4880
Qwen3-235B-A22B_thinking,3205.0000,11540.8036,1584.7354
qwen3-30b-a3b,1016.1333,2368.9130,243.8226
Qwen3-30B-A3B_thinking,3869.6970,12865.1525,1399.3333
Qwen3-8B,1509.8144,3841.7625,274.0571
Qwen3-8B_thinking,4254.7111,15851.8333,1704.4270
