Model,contra_infer_insert,contra_premise_insert,flawed_solution_completion,irr_query_distraction
claude-3-7-sonnet-20250219-thinking,1292.2000,997.1354,1198.6369,838.2603
Deepseek-R1,3613.7884,3016.2609,1918.9182,2270.2432
DeepSeek-V3,1597.5754,1587.3796,934.2314,1030.1564
gemini-2.0-flash-thinking-exp-01-21,10725.9101,9903.4891,10665.7917,4739.0995
gpt-4.1,831.8996,556.5461,1083.8366,784.8448
gpt-4o,405.6389,320.7857,385.4632,385.3036
llama-4-maverick,720.5112,788.8167,558.1250,529.1635
o3-mini-medium,2641.3929,2171.8464,2470.7571,1358.5662
o4-mini-medium,1285.1575,920.7098,1930.4179,1392.0354
qwen3-235b-a22b,1200.0350,966.9963,1008.9167,932.4516
Qwen3-235B-A22B_thinking,5231.1154,5648.7036,2631.5423,2480.0943
qwen3-30b-a3b,1326.1053,1164.4091,1131.9244,850.8468
Qwen3-30B-A3B_thinking,5701.4976,6380.2689,3232.8455,2016.5150
Qwen3-8B,1695.2130,1652.9195,2080.7407,1256.1333
Qwen3-8B_thinking,6947.8850,6510.9579,2952.5044,2574.6667
