Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,1515.8031,1629.1481,484.1662
Deepseek-R1,3007.5719,6083.9251,1039.4467
DeepSeek-V3,1606.2014,2492.9487,573.1501
gemini-2.0-flash-thinking-exp-01-21,5407.5942,23305.3897,1813.3915
gpt-4.1,800.4624,1271.9017,444.2822
gpt-4o,428.2935,458.9408,279.2226
llama-4-maverick,894.0180,996.3740,464.3866
o3-mini-medium,2252.9688,4107.3103,1049.2207
o4-mini-medium,1314.7837,1985.9679,673.6474
qwen3-235b-a22b,1223.5000,1580.5493,535.6239
Qwen3-235B-A22B_thinking,3904.9533,9826.8276,1829.1771
qwen3-30b-a3b,1411.6615,1713.8325,593.7065
Qwen3-30B-A3B_thinking,4882.2958,10677.7303,1853.6677
Qwen3-8B,1781.2677,2939.0990,659.4066
Qwen3-8B_thinking,4996.7675,11982.0645,2697.2695
