Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,1818.3583,2455.6435,408.3869
Deepseek-R1,3123.6619,10116.7219,1011.4611
DeepSeek-V3,1347.5432,2762.9077,317.5552
gemini-2.0-flash-thinking-exp-01-21,6241.5292,23476.9853,1138.7465
gpt-4.1,1019.7527,2286.9530,216.6356
gpt-4o,595.0498,651.1302,192.1630
llama-4-maverick,656.7186,1096.8321,213.8285
o3-mini-medium,1953.1667,5852.9483,333.0335
o4-mini-medium,1442.2766,4078.9429,324.5502
qwen3-235b-a22b,967.1781,1794.1831,250.6836
Qwen3-235B-A22B_thinking,3744.6833,11134.4655,1579.9373
qwen3-30b-a3b,1019.7899,2431.8901,247.9454
Qwen3-30B-A3B_thinking,4251.9333,13342.0329,1363.4910
Qwen3-8B,1355.1614,3496.2448,264.9963
Qwen3-8B_thinking,4193.0702,14655.9274,1652.7006
