Model,contra_infer_insert,contra_premise_insert,flawed_solution_completion,irr_query_distraction
claude-3-7-sonnet-20250219-thinking,1081.6444,1411.1859,936.5714,585.5918
Deepseek-R1,3010.0000,3413.2273,650.7222,1236.0353
DeepSeek-V3,1468.1603,1717.1402,862.9038,689.8596
gemini-2.0-flash-thinking-exp-01-21,8410.9610,9392.9367,9073.0667,2523.7018
gpt-4.1,829.1593,1147.4077,875.0556,396.5652
gpt-4o,367.2381,515.0806,338.8000,190.2778
llama-4-maverick,460.6071,655.8462,434.6389,259.0000
o3-mini-medium,1526.9672,2478.2381,2004.4500,957.3750
o4-mini-medium,1736.8667,1648.8095,619.3333,1126.6667
qwen3-235b-a22b,915.3232,1026.4380,744.6923,558.7027
Qwen3-235B-A22B_thinking,3793.4317,5019.7273,1819.0196,1241.7255
qwen3-30b-a3b,1097.7647,1126.3223,924.0556,483.5897
Qwen3-30B-A3B_thinking,5013.2143,4974.3175,2205.3514,1253.6300
Qwen3-8B,1876.8090,2062.4314,2582.9000,695.6154
Qwen3-8B_thinking,5456.3644,6388.1293,2676.1667,1560.9429
