Model,contra_infer_insert,contra_premise_insert,flawed_solution_completion,irr_query_distraction
claude-3-7-sonnet-20250219-thinking,1653.9556,1501.9615,1049.4066,774.1122
Deepseek-R1,5786.5606,5832.3939,1218.5556,2083.6471
DeepSeek-V3,1875.5128,2192.5671,1450.0000,1150.3070
gemini-2.0-flash-thinking-exp-01-21,9483.3052,10180.2089,9784.8556,3368.0526
gpt-4.1,1009.6018,1188.4000,950.5556,510.4348
gpt-4o,441.0238,496.4355,333.3000,279.2222
llama-4-maverick,609.0119,749.5962,506.7083,383.7313
o3-mini-medium,3146.1639,4070.2262,3111.4000,950.5000
o4-mini-medium,2925.6000,1945.5238,1475.3333,1084.1667
qwen3-235b-a22b,1312.0808,1320.9008,898.0000,677.9730
Qwen3-235B-A22B_thinking,6920.0360,7754.0606,3199.5294,1938.6078
qwen3-30b-a3b,1469.2647,1373.2645,1141.5000,678.9487
Qwen3-30B-A3B_thinking,7280.4524,6841.2222,3215.5135,1950.0400
Qwen3-8B,2471.8989,2320.1471,2489.6667,964.7692
Qwen3-8B_thinking,8273.8475,8262.1724,4203.6667,2447.6286
