Model,contra_infer_insert,contra_premise_insert,flawed_solution_completion,irr_query_distraction
claude-3-7-sonnet-20250219-thinking,1516.9064,1775.1285,1087.8155,628.0616
Deepseek-R1,4692.6058,5499.4493,1587.1182,1555.8541
DeepSeek-V3,1438.2698,1710.9416,619.3388,666.4749
gemini-2.0-flash-thinking-exp-01-21,11279.1583,11736.8358,9727.2604,2582.4764
gpt-4.1,1228.8216,1362.2482,781.2026,370.6839
gpt-4o,458.6667,495.8722,350.7684,237.9375
llama-4-maverick,525.1011,662.5708,408.4500,244.3750
o3-mini-medium,2820.9563,3320.6357,1564.6190,517.5956
o4-mini-medium,2202.2711,2476.0140,1489.4104,740.7172
qwen3-235b-a22b,1017.3502,1049.6985,761.0962,534.5032
Qwen3-235B-A22B_thinking,5486.7308,6315.1976,2133.8451,2150.9104
qwen3-30b-a3b,1242.9271,1267.9470,851.3109,506.1081
Qwen3-30B-A3B_thinking,5740.5829,7240.7269,2721.9545,1616.0958
Qwen3-8B,1664.8696,1711.0766,1677.6759,642.7833
Qwen3-8B_thinking,6195.2750,7166.5234,2283.7434,1852.8491
