Model,medium,hard,normal
claude-3-7-sonnet-20250219-thinking,1990.2830,2136.1220,681.7368
Deepseek-R1,5000.9259,7706.2500,3137.7124
DeepSeek-V3,1940.3596,3124.1043,798.1347
gemini-2.0-flash-thinking-exp-01-21,6875.6168,25090.1827,2042.0798
gpt-4.1,1307.7653,2232.9275,389.0292
gpt-4o,615.3953,603.1429,272.5441
llama-4-maverick,845.1026,993.3621,354.8429
o3-mini-medium,3930.9833,5407.5758,2366.7250
o4-mini-medium,2379.7500,3730.7857,1108.7692
qwen3-235b-a22b,1229.6237,2207.8974,506.0880
Qwen3-235B-A22B_thinking,5330.9910,11572.0714,4305.6770
qwen3-30b-a3b,1378.7238,2581.2754,489.7500
Qwen3-30B-A3B_thinking,5698.5859,11612.2881,3653.7835
Qwen3-8B,1875.1856,4139.3875,619.7714
Qwen3-8B_thinking,6981.0556,12749.4444,4859.3315
